Wahlkreisnummer;Wahlkreisname;Gemeindekennziffer;Gemeindename
1;Salzwedel;15081026;Apenburg-Winterfeld, Flecken
1;Salzwedel;15081030;Arendsee (Altmark), Stadt
1;Salzwedel;15081045;Beetzendorf
1;Salzwedel;15081095;Dähre
1;Salzwedel;15081105;Diesdorf, Flecken
1;Salzwedel;15081225;Jübar
1;Salzwedel;15081290;Kuhfelde
1;Salzwedel;15081440;Rohrberg
1;Salzwedel;15081455;Salzwedel, Hansestadt
1;Salzwedel;15081545;Wallstawe
2;Gardelegen-Klötze;15081135;Gardelegen, Hansestadt
2;Gardelegen-Klötze;15081240;Kalbe (Milde), Stadt
2;Gardelegen-Klötze;15081280;Klötze, Stadt
2;Gardelegen-Klötze;15083411;Oebisfelde-Weferlingen, Stadt
3;Havelberg-Osterburg;15090003;Aland
3;Havelberg-Osterburg;15090007;Altmärkische Höhe
3;Havelberg-Osterburg;15090008;Altmärkische Wische
3;Havelberg-Osterburg;15090010;Arneburg, Stadt
3;Havelberg-Osterburg;15090135;Eichstedt (Altmark)
3;Havelberg-Osterburg;15090180;Goldbeck
3;Havelberg-Osterburg;15090220;Hassel
3;Havelberg-Osterburg;15090225;Havelberg, Hansestadt
3;Havelberg-Osterburg;15090245;Hohenberg-Krusemark
3;Havelberg-Osterburg;15090270;Iden
3;Havelberg-Osterburg;15090285;Kamern
3;Havelberg-Osterburg;15090310;Klietz
3;Havelberg-Osterburg;15090415;Osterburg (Altmark), Hansestadt
3;Havelberg-Osterburg;15090435;Rochau
3;Havelberg-Osterburg;15090445;Sandau (Elbe), Stadt
3;Havelberg-Osterburg;15090485;Schollene
3;Havelberg-Osterburg;15090500;Schönhausen (Elbe)
3;Havelberg-Osterburg;15090520;Seehausen (Altmark), Hansestadt
3;Havelberg-Osterburg;15090610;Werben (Elbe), Hansestadt
3;Havelberg-Osterburg;15090631;Wust-Fischbeck
3;Havelberg-Osterburg;15090635;Zehrental
4;Stendal;15090070;Bismark (Altmark), Stadt
4;Stendal;15090535;Stendal, Hansestadt
5;Genthin;15086035;Elbe-Parey
5;Genthin;15086040;Genthin, Stadt
5;Genthin;15086080;Jerichow, Stadt
5;Genthin;15090546;Tangerhütte, Stadt
5;Genthin;15090550;Tangermünde, Stadt
6;Burg;15086005;Biederitz
6;Burg;15086015;Burg, Stadt
6;Burg;15086140;Möckern, Stadt
6;Burg;15086145;Möser
